parser_id,framework,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness
haystack.multifile,haystack,13234,13209,11057,0.835499,0.736736
haystack.pdfminer,haystack,13234,13232,10280,0.776787,0.677545
haystack.pypdf,haystack,13234,13232,11060,0.835726,0.736969
haystack.tika,haystack,13234,13229,11094,0.838295,0.737325
langchain.docling,langchain,13234,13231,1467,0.110851,0.072224
langchain.pdfminer,langchain,13234,13224,2420,0.182862,0.158953
langchain.pdfplumber,langchain,13234,13224,2352,0.177724,0.151994
langchain.pymupdf,langchain,13234,13232,1791,0.135333,0.110424
langchain.pymupdf4llm,langchain,13234,13232,1337,0.101028,0.078322
langchain.pypdf,langchain,13234,13223,2592,0.195859,0.172592
langchain.pypdfium2,langchain,13234,13232,1922,0.145232,0.117609
langchain.unstructured_fast,langchain,13234,13232,2172,0.164123,0.12079
llamaindex.pdfloader,llamaindex,13234,13232,11070,0.836482,0.738255
llamaindex.pymupdf,llamaindex,13234,13232,7828,0.591507,0.482166
llamaindex.smartpdf,llamaindex,13234,13225,9252,0.699108,0.606347
llmsherpa.default,llmsherpa,13234,13225,9253,0.699184,0.606367
