framework,attack_category,parser_count,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness
haystack,Visual Hiding,4,25996,25976,24913,0.95834,0.935398
haystack,Geometric Escape,4,13468,13460,11574,0.85937,0.828062
haystack,Presentation Layer Encoding,4,18712,18707,12203,0.652148,0.640842
haystack,Parsing Order/Multi-view Inconsistency,4,6736,6730,6730,0.999109,0.400238
langchain,Visual Hiding,8,51992,51971,9657,0.18574,0.168549
langchain,Geometric Escape,8,26936,26923,3334,0.123775,0.112899
langchain,Presentation Layer Encoding,8,37424,37416,20337,0.543421,0.528847
langchain,Parsing Order/Multi-view Inconsistency,8,13472,13464,2961,0.219789,0.087493
llamaindex,Visual Hiding,3,19497,19491,17154,0.879828,0.85111
llamaindex,Geometric Escape,3,10101,10097,5813,0.575488,0.534358
llamaindex,Presentation Layer Encoding,3,14034,14031,9138,0.651133,0.639858
llamaindex,Parsing Order/Multi-view Inconsistency,3,5052,5049,4983,0.986342,0.423199
llmsherpa,Visual Hiding,1,6499,6495,4930,0.758578,0.724618
llmsherpa,Geometric Escape,1,3367,3363,2637,0.78319,0.744758
llmsherpa,Presentation Layer Encoding,1,4678,4677,3032,0.64814,0.635982
llmsherpa,Parsing Order/Multi-view Inconsistency,1,1684,1683,1617,0.960214,0.470071
