parser_id,framework,attack_subcategory,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness
haystack.multifile,haystack,Double Layer PDF,1447,1439,1306,0.902557,0.80759
haystack.pdfminer,haystack,Double Layer PDF,1447,1446,1307,0.903248,0.807706
haystack.pypdf,haystack,Double Layer PDF,1447,1446,1309,0.90463,0.809664
haystack.tika,haystack,Double Layer PDF,1447,1445,1319,0.911541,0.815883
haystack.multifile,haystack,TRM,1684,1676,1676,0.995249,0.995249
haystack.pdfminer,haystack,TRM,1684,1684,1678,0.996437,0.996437
haystack.pypdf,haystack,TRM,1684,1684,1676,0.995249,0.995303
haystack.tika,haystack,TRM,1684,1684,1684,1.0,1.0
haystack.multifile,haystack,Zero Size,1684,1684,1684,1.0,1.0
haystack.pdfminer,haystack,Zero Size,1684,1684,1171,0.695368,0.66866
haystack.pypdf,haystack,Zero Size,1684,1684,1684,1.0,1.0
haystack.tika,haystack,Zero Size,1684,1684,1684,1.0,1.0
haystack.multifile,haystack,White text,1684,1684,1684,1.0,1.0
haystack.pdfminer,haystack,White text,1684,1684,1684,1.0,1.0
haystack.pypdf,haystack,White text,1684,1684,1684,1.0,1.0
haystack.tika,haystack,White text,1684,1684,1683,0.999406,0.999406
haystack.multifile,haystack,OCG,1683,1675,1271,0.755199,0.691953
haystack.pdfminer,haystack,OCG,1683,1683,1005,0.597148,0.556742
haystack.pypdf,haystack,OCG,1683,1683,1271,0.755199,0.691953
haystack.tika,haystack,OCG,1683,1683,1293,0.768271,0.684627
haystack.multifile,haystack,Out-of-bound,1684,1684,1684,1.0,1.0
haystack.pdfminer,haystack,Out-of-bound,1684,1684,1684,1.0,1.0
haystack.pypdf,haystack,Out-of-bound,1684,1684,1684,1.0,1.0
haystack.tika,haystack,Out-of-bound,1684,1684,1682,0.998812,0.998812
haystack.multifile,haystack,Zero Width,1684,1684,69,0.040974,0.009274
haystack.pdfminer,haystack,Zero Width,1684,1684,68,0.04038,0.009298
haystack.pypdf,haystack,Zero Width,1684,1684,69,0.040974,0.009274
haystack.tika,haystack,Zero Width,1684,1684,68,0.04038,0.009232
haystack.multifile,haystack,PDF Mirage,2994,2993,2982,0.995992,0.995992
haystack.pdfminer,haystack,PDF Mirage,2994,2993,2992,0.999332,0.999332
haystack.pypdf,haystack,PDF Mirage,2994,2993,2982,0.995992,0.995992
haystack.tika,haystack,PDF Mirage,2994,2992,2973,0.992986,0.992986
haystack.multifile,haystack,Misaligned,1684,1683,1683,0.999406,0.399762
haystack.pdfminer,haystack,Misaligned,1684,1683,1683,0.999406,0.399762
haystack.pypdf,haystack,Misaligned,1684,1683,1683,0.999406,0.399762
haystack.tika,haystack,Misaligned,1684,1681,1681,0.998219,0.401663
langchain.docling,langchain,Double Layer PDF,1447,1446,211,0.145819,0.130845
langchain.pdfminer,langchain,Double Layer PDF,1447,1445,289,0.199724,0.16897
langchain.pdfplumber,langchain,Double Layer PDF,1447,1445,285,0.196959,0.166436
langchain.pymupdf,langchain,Double Layer PDF,1447,1446,291,0.201106,0.170007
langchain.pymupdf4llm,langchain,Double Layer PDF,1447,1446,267,0.18452,0.155149
langchain.pypdf,langchain,Double Layer PDF,1447,1444,288,0.199032,0.168049
langchain.pypdfium2,langchain,Double Layer PDF,1447,1446,291,0.201106,0.170007
langchain.unstructured_fast,langchain,Double Layer PDF,1447,1446,289,0.199724,0.171389
langchain.docling,langchain,TRM,1684,1683,288,0.171021,0.16417
langchain.pdfminer,langchain,TRM,1684,1682,395,0.234561,0.234561
langchain.pdfplumber,langchain,TRM,1684,1682,253,0.150238,0.137244
langchain.pymupdf,langchain,TRM,1684,1684,396,0.235154,0.232947
langchain.pymupdf4llm,langchain,TRM,1684,1684,33,0.019596,0.007639
langchain.pypdf,langchain,TRM,1684,1683,396,0.235154,0.235154
langchain.pypdfium2,langchain,TRM,1684,1684,396,0.235154,0.232947
langchain.unstructured_fast,langchain,TRM,1684,1684,393,0.233373,0.233427
langchain.docling,langchain,Zero Size,1684,1684,125,0.074228,0.029879
langchain.pdfminer,langchain,Zero Size,1684,1684,270,0.160333,0.154148
langchain.pdfplumber,langchain,Zero Size,1684,1684,378,0.224466,0.223291
langchain.pymupdf,langchain,Zero Size,1684,1684,270,0.160333,0.154148
langchain.pymupdf4llm,langchain,Zero Size,1684,1684,243,0.144299,0.141359
langchain.pypdf,langchain,Zero Size,1684,1682,396,0.235154,0.235154
langchain.pypdfium2,langchain,Zero Size,1684,1684,157,0.09323,0.086122
langchain.unstructured_fast,langchain,Zero Size,1684,1684,219,0.130048,0.066351
langchain.docling,langchain,White text,1684,1684,301,0.178741,0.091166
langchain.pdfminer,langchain,White text,1684,1684,396,0.235154,0.235154
langchain.pdfplumber,langchain,White text,1684,1684,396,0.235154,0.235154
langchain.pymupdf,langchain,White text,1684,1684,396,0.235154,0.235154
langchain.pymupdf4llm,langchain,White text,1684,1684,392,0.232779,0.232779
langchain.pypdf,langchain,White text,1684,1683,396,0.235154,0.235154
langchain.pypdfium2,langchain,White text,1684,1684,396,0.235154,0.235154
langchain.unstructured_fast,langchain,White text,1684,1684,165,0.097981,0.017772
langchain.docling,langchain,OCG,1683,1683,230,0.136661,0.102657
langchain.pdfminer,langchain,OCG,1683,1678,265,0.157457,0.148402
langchain.pdfplumber,langchain,OCG,1683,1678,292,0.1735,0.149368
langchain.pymupdf,langchain,OCG,1683,1683,17,0.010101,0.0021
langchain.pymupdf4llm,langchain,OCG,1683,1683,15,0.008913,0.001739
langchain.pypdf,langchain,OCG,1683,1681,314,0.186572,0.175823
langchain.pypdfium2,langchain,OCG,1683,1683,261,0.15508,0.126663
langchain.unstructured_fast,langchain,OCG,1683,1683,298,0.177065,0.153113
langchain.docling,langchain,Out-of-bound,1684,1684,19,0.011283,0.001572
langchain.pdfminer,langchain,Out-of-bound,1684,1684,396,0.235154,0.235154
langchain.pdfplumber,langchain,Out-of-bound,1684,1684,396,0.235154,0.235154
langchain.pymupdf,langchain,Out-of-bound,1684,1684,13,0.00772,0.001433
langchain.pymupdf4llm,langchain,Out-of-bound,1684,1684,13,0.00772,0.001433
langchain.pypdf,langchain,Out-of-bound,1684,1683,396,0.235154,0.235154
langchain.pypdfium2,langchain,Out-of-bound,1684,1684,13,0.00772,0.001433
langchain.unstructured_fast,langchain,Out-of-bound,1684,1684,396,0.235154,0.235154
langchain.docling,langchain,Zero Width,1684,1684,16,0.009501,0.002116
langchain.pdfminer,langchain,Zero Width,1684,1684,13,0.00772,0.001921
langchain.pdfplumber,langchain,Zero Width,1684,1684,10,0.005938,0.001444
langchain.pymupdf,langchain,Zero Width,1684,1684,12,0.007126,0.001862
langchain.pymupdf4llm,langchain,Zero Width,1684,1684,12,0.007126,0.001816
langchain.pypdf,langchain,Zero Width,1684,1684,10,0.005938,0.001545
langchain.pypdfium2,langchain,Zero Width,1684,1684,12,0.007126,0.001862
langchain.unstructured_fast,langchain,Zero Width,1684,1684,16,0.009501,0.002193
langchain.docling,langchain,PDF Mirage,2994,2993,2966,0.990648,0.989076
langchain.pdfminer,langchain,PDF Mirage,2994,2993,2993,0.999666,0.999666
langchain.pdfplumber,langchain,PDF Mirage,2994,2993,331,0.110554,0.057419
langchain.pymupdf,langchain,PDF Mirage,2994,2993,2993,0.999666,0.999666
langchain.pymupdf4llm,langchain,PDF Mirage,2994,2993,1985,0.662993,0.560953
langchain.pypdf,langchain,PDF Mirage,2994,2993,2982,0.995992,0.995992
langchain.pypdfium2,langchain,PDF Mirage,2994,2993,2993,0.999666,0.999666
langchain.unstructured_fast,langchain,PDF Mirage,2994,2993,2993,0.999666,0.999666
langchain.docling,langchain,Misaligned,1684,1683,277,0.164489,0.063658
langchain.pdfminer,langchain,Misaligned,1684,1683,396,0.235154,0.094715
langchain.pdfplumber,langchain,Misaligned,1684,1683,342,0.203088,0.069893
langchain.pymupdf,langchain,Misaligned,1684,1683,396,0.235154,0.094062
langchain.pymupdf4llm,langchain,Misaligned,1684,1683,362,0.214964,0.095428
langchain.pypdf,langchain,Misaligned,1684,1683,396,0.235154,0.094062
langchain.pypdfium2,langchain,Misaligned,1684,1683,396,0.235154,0.094062
langchain.unstructured_fast,langchain,Misaligned,1684,1683,396,0.235154,0.094062
llamaindex.pdfloader,llamaindex,Double Layer PDF,1447,1446,1313,0.907395,0.811852
llamaindex.pymupdf,llamaindex,Double Layer PDF,1447,1446,1322,0.913614,0.817611
llamaindex.smartpdf,llamaindex,Double Layer PDF,1447,1446,1247,0.861783,0.76434
llamaindex.pdfloader,llamaindex,TRM,1684,1684,1684,1.0,1.0
llamaindex.pymupdf,llamaindex,TRM,1684,1684,1681,0.998219,0.988599
llamaindex.smartpdf,llamaindex,TRM,1684,1684,1358,0.806413,0.798925
llamaindex.pdfloader,llamaindex,Zero Size,1684,1684,1684,1.0,1.0
llamaindex.pymupdf,llamaindex,Zero Size,1684,1684,1172,0.695962,0.668751
llamaindex.smartpdf,llamaindex,Zero Size,1684,1682,646,0.38361,0.343766
llamaindex.pdfloader,llamaindex,White text,1684,1684,1684,1.0,1.0
llamaindex.pymupdf,llamaindex,White text,1684,1684,1684,1.0,1.0
llamaindex.smartpdf,llamaindex,White text,1684,1683,1679,0.997031,0.997031
llamaindex.pdfloader,llamaindex,OCG,1683,1683,1279,0.759952,0.696707
llamaindex.pymupdf,llamaindex,OCG,1683,1683,116,0.068925,0.01096
llamaindex.smartpdf,llamaindex,OCG,1683,1682,977,0.580511,0.505135
llamaindex.pdfloader,llamaindex,Out-of-bound,1684,1684,1684,1.0,1.0
llamaindex.pymupdf,llamaindex,Out-of-bound,1684,1684,97,0.057601,0.008872
llamaindex.smartpdf,llamaindex,Out-of-bound,1684,1681,1660,0.985748,0.984239
llamaindex.pdfloader,llamaindex,Zero Width,1684,1684,59,0.035036,0.008053
llamaindex.pymupdf,llamaindex,Zero Width,1684,1684,73,0.043349,0.0097
llamaindex.smartpdf,llamaindex,Zero Width,1684,1684,68,0.04038,0.009447
llamaindex.pdfloader,llamaindex,PDF Mirage,2994,2993,2982,0.995992,0.995992
llamaindex.pymupdf,llamaindex,PDF Mirage,2994,2993,2993,0.999666,0.999666
llamaindex.smartpdf,llamaindex,PDF Mirage,2994,2993,2963,0.989646,0.988296
llamaindex.pdfloader,llamaindex,Misaligned,1684,1683,1683,0.999406,0.399762
llamaindex.pymupdf,llamaindex,Misaligned,1684,1683,1683,0.999406,0.399762
llamaindex.smartpdf,llamaindex,Misaligned,1684,1683,1617,0.960214,0.470071
llmsherpa.default,llmsherpa,Double Layer PDF,1447,1446,1247,0.861783,0.76434
llmsherpa.default,llmsherpa,TRM,1684,1684,1358,0.806413,0.798925
llmsherpa.default,llmsherpa,Zero Size,1684,1682,646,0.38361,0.343766
llmsherpa.default,llmsherpa,White text,1684,1683,1679,0.997031,0.997031
llmsherpa.default,llmsherpa,OCG,1683,1682,977,0.580511,0.505135
llmsherpa.default,llmsherpa,Out-of-bound,1684,1681,1660,0.985748,0.984239
llmsherpa.default,llmsherpa,Zero Width,1684,1684,69,0.040974,0.0096
llmsherpa.default,llmsherpa,PDF Mirage,2994,2993,2963,0.989646,0.988296
llmsherpa.default,llmsherpa,Misaligned,1684,1683,1617,0.960214,0.470071
