parser_id,framework,attack_category,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness,avg_recovery_completeness_on_success
docling.docling,docling,Geometric Escape,4,4,2,0.5,0.275,0.55
docling.docling,docling,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
docling.docling,docling,Presentation Layer Encoding,2,2,2,1.0,0.257576,0.257576
docling.docling,docling,Visual Hiding,8,8,8,1.0,0.698255,0.698255
docling.docling_force_ocr,docling,Geometric Escape,4,4,2,0.5,0.05625,0.1125
docling.docling_force_ocr,docling,Parsing Order/Multi-view Inconsistency,2,2,1,0.5,0.5,1.0
docling.docling_force_ocr,docling,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
docling.docling_force_ocr,docling,Visual Hiding,8,7,1,0.125,0.017857,0.142857
haystack.multifile,haystack,Geometric Escape,4,4,4,1.0,1.0,1.0
haystack.multifile,haystack,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
haystack.multifile,haystack,Visual Hiding,8,8,8,1.0,1.0,1.0
haystack.pdfminer,haystack,Geometric Escape,4,4,3,0.75,0.75,1.0
haystack.pdfminer,haystack,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
haystack.pdfminer,haystack,Visual Hiding,8,8,8,1.0,1.0,1.0
haystack.pypdf,haystack,Geometric Escape,4,4,4,1.0,1.0,1.0
haystack.pypdf,haystack,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
haystack.pypdf,haystack,Visual Hiding,8,8,8,1.0,1.0,1.0
haystack.tika,haystack,Geometric Escape,4,4,4,1.0,1.0,1.0
haystack.tika,haystack,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
haystack.tika,haystack,Visual Hiding,8,7,7,0.875,0.875,1.0
haystack.unstructured,haystack,Geometric Escape,4,4,3,0.75,0.75,1.0
haystack.unstructured,haystack,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,Presentation Layer Encoding,2,2,1,0.5,0.212121,0.333333
haystack.unstructured,haystack,Visual Hiding,8,8,8,1.0,1.0,1.0
langchain.docling,langchain,Geometric Escape,4,4,2,0.5,0.275,0.55
langchain.docling,langchain,Parsing Order/Multi-view Inconsistency,2,2,2,1.0,1.0,1.0
langchain.docling,langchain,Presentation Layer Encoding,2,2,2,1.0,0.257576,0.257576
langchain.docling,langchain,Visual Hiding,8,8,7,0.875,0.573255,0.655148
langchain.opendataloader,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_all,langchain,Visual Hiding,8,8,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,Geometric Escape,4,4,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,Parsing Order/Multi-view Inconsistency,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,Presentation Layer Encoding,2,2,1,0.5,0.166666,0.333333
