parser_id,framework,attack_subcategory,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness,avg_recovery_completeness_on_success
docling.docling,docling,double_layer_pdf,2,2,2,1.0,1.0,1.0
docling.docling,docling,misaligned,2,2,2,1.0,1.0,1.0
docling.docling,docling,ocg,2,2,1,0.5,0.5,1.0
docling.docling,docling,out_of_bound,2,2,1,0.5,0.05,0.1
docling.docling,docling,trm,2,2,2,1.0,0.909091,0.909091
docling.docling,docling,white_text,2,2,2,1.0,0.75,0.75
docling.docling,docling,zero_size_font,2,2,2,1.0,0.133929,0.133929
docling.docling,docling,zero_width,2,2,2,1.0,0.257576,0.257576
docling.docling_force_ocr,docling,double_layer_pdf,2,2,0,0.0,0.0,0.0
docling.docling_force_ocr,docling,misaligned,2,2,1,0.5,0.5,1.0
docling.docling_force_ocr,docling,ocg,2,2,1,0.5,0.0625,0.125
docling.docling_force_ocr,docling,out_of_bound,2,2,1,0.5,0.05,0.1
docling.docling_force_ocr,docling,trm,2,2,1,0.5,0.071429,0.142857
docling.docling_force_ocr,docling,white_text,2,1,0,0.0,0.0,0.0
docling.docling_force_ocr,docling,zero_size_font,2,2,0,0.0,0.0,0.0
docling.docling_force_ocr,docling,zero_width,2,2,1,0.5,0.212121,0.333333
haystack.multifile,haystack,double_layer_pdf,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,misaligned,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,ocg,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,out_of_bound,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,trm,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,white_text,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,zero_size_font,2,2,2,1.0,1.0,1.0
haystack.multifile,haystack,zero_width,2,2,1,0.5,0.212121,0.333333
haystack.pdfminer,haystack,double_layer_pdf,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,misaligned,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,ocg,2,2,1,0.5,0.5,1.0
haystack.pdfminer,haystack,out_of_bound,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,trm,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,white_text,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,zero_size_font,2,2,2,1.0,1.0,1.0
haystack.pdfminer,haystack,zero_width,2,2,1,0.5,0.212121,0.333333
haystack.pypdf,haystack,double_layer_pdf,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,misaligned,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,ocg,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,out_of_bound,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,trm,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,white_text,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,zero_size_font,2,2,2,1.0,1.0,1.0
haystack.pypdf,haystack,zero_width,2,2,1,0.5,0.212121,0.333333
haystack.tika,haystack,double_layer_pdf,2,1,1,0.5,0.5,1.0
haystack.tika,haystack,misaligned,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,ocg,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,out_of_bound,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,trm,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,white_text,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,zero_size_font,2,2,2,1.0,1.0,1.0
haystack.tika,haystack,zero_width,2,2,1,0.5,0.212121,0.333333
haystack.unstructured,haystack,double_layer_pdf,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,misaligned,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,ocg,2,2,1,0.5,0.5,1.0
haystack.unstructured,haystack,out_of_bound,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,trm,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,white_text,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,zero_size_font,2,2,2,1.0,1.0,1.0
haystack.unstructured,haystack,zero_width,2,2,1,0.5,0.212121,0.333333
langchain.docling,langchain,double_layer_pdf,2,2,1,0.5,0.5,1.0
langchain.docling,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.docling,langchain,ocg,2,2,1,0.5,0.5,1.0
langchain.docling,langchain,out_of_bound,2,2,1,0.5,0.05,0.1
langchain.docling,langchain,trm,2,2,2,1.0,0.909091,0.909091
langchain.docling,langchain,white_text,2,2,2,1.0,0.75,0.75
langchain.docling,langchain,zero_size_font,2,2,2,1.0,0.133929,0.133929
langchain.docling,langchain,zero_width,2,2,2,1.0,0.257576,0.257576
langchain.opendataloader,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_all,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader_all,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_hidden_ocg,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_ocg,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_hidden_text,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader_hidden_text,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_off_page,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader_off_page,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.opendataloader_tiny,langchain,double_layer_pdf,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,misaligned,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,ocg,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,out_of_bound,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,trm,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,white_text,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,zero_size_font,2,2,0,0.0,0.0,0.0
langchain.opendataloader_tiny,langchain,zero_width,2,2,1,0.5,0.166666,0.333333
langchain.pdfminer,langchain,double_layer_pdf,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,ocg,2,2,1,0.5,0.5,1.0
langchain.pdfminer,langchain,out_of_bound,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,trm,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,white_text,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,zero_size_font,2,2,2,1.0,1.0,1.0
langchain.pdfminer,langchain,zero_width,2,2,1,0.5,0.212121,0.333333
langchain.pdfplumber,langchain,double_layer_pdf,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,ocg,2,2,1,0.5,0.5,1.0
langchain.pdfplumber,langchain,out_of_bound,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,trm,2,2,2,1.0,0.785714,0.785714
langchain.pdfplumber,langchain,white_text,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,zero_size_font,2,2,2,1.0,1.0,1.0
langchain.pdfplumber,langchain,zero_width,2,2,1,0.5,0.212121,0.333333
langchain.pymupdf,langchain,double_layer_pdf,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,ocg,2,2,1,0.5,0.0625,0.125
langchain.pymupdf,langchain,out_of_bound,2,2,1,0.5,0.05,0.1
langchain.pymupdf,langchain,trm,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,white_text,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,zero_size_font,2,2,2,1.0,1.0,1.0
langchain.pymupdf,langchain,zero_width,2,2,1,0.5,0.212121,0.333333
langchain.pymupdf4llm,langchain,double_layer_pdf,2,2,2,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,ocg,2,2,1,0.5,0.0625,0.125
langchain.pymupdf4llm,langchain,out_of_bound,2,2,1,0.5,0.05,0.1
langchain.pymupdf4llm,langchain,trm,2,2,1,0.5,0.142857,0.285714
langchain.pymupdf4llm,langchain,white_text,2,2,2,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,zero_size_font,2,2,2,1.0,1.0,1.0
langchain.pymupdf4llm,langchain,zero_width,2,2,1,0.5,0.212121,0.333333
langchain.pypdf,langchain,double_layer_pdf,2,2,2,1.0,1.0,1.0
langchain.pypdf,langchain,misaligned,2,2,2,1.0,1.0,1.0
langchain.pypdf,langchain,ocg,2,2,2,1.0,1.0,1.0
langchain.pypdf,langchain,out_of_bound,2,2,2,1.0,1.0,1.0
