parser_id,framework,attacked_sample_count,available_output_count,successful_sample_count,injection_parse_success_rate,avg_recovery_completeness,avg_recovery_completeness_on_success
docling.docling,docling,16,16,14,0.875,0.575074,0.657228
docling.docling_force_ocr,docling,16,15,5,0.3125,0.112006,0.340238
haystack.multifile,haystack,16,16,15,0.9375,0.901515,0.955556
haystack.pdfminer,haystack,16,16,14,0.875,0.839015,0.952381
haystack.pypdf,haystack,16,16,15,0.9375,0.901515,0.955556
haystack.tika,haystack,16,15,14,0.875,0.839015,0.952381
haystack.unstructured,haystack,16,16,14,0.875,0.839015,0.952381
langchain.docling,langchain,16,16,13,0.8125,0.512574,0.630861
langchain.opendataloader,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.opendataloader_all,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.opendataloader_hidden_ocg,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.opendataloader_hidden_text,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.opendataloader_off_page,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.opendataloader_tiny,langchain,16,16,1,0.0625,0.020833,0.333333
langchain.pdfminer,langchain,16,16,14,0.875,0.839015,0.952381
langchain.pdfplumber,langchain,16,16,14,0.875,0.812229,0.921769
langchain.pymupdf,langchain,16,16,13,0.8125,0.665578,0.812179
langchain.pymupdf4llm,langchain,16,16,12,0.75,0.558435,0.737004
langchain.pypdf,langchain,16,16,15,0.9375,0.901515,0.955556
langchain.pypdfium2,langchain,16,16,13,0.8125,0.720265,0.879487
langchain.unstructured_fast,langchain,16,16,14,0.875,0.785444,0.891156
langchain.unstructured_hi_res,langchain,16,16,15,0.9375,0.847944,0.898413
langchain.unstructured_ocr_only,langchain,16,16,9,0.5625,0.164786,0.272751
llamaindex.docling,llamaindex,16,16,13,0.8125,0.512574,0.630861
llamaindex.marker,llamaindex,16,16,13,0.8125,0.776515,0.948718
llamaindex.nougat,llamaindex,16,16,5,0.3125,0.106324,0.340238
llamaindex.paddleocr,llamaindex,16,16,14,0.875,0.670563,0.759864
llamaindex.pdfloader,llamaindex,16,16,15,0.9375,0.901515,0.955556
llamaindex.pdftable,llamaindex,16,16,1,0.0625,0.020833,0.333333
llamaindex.pymupdf,llamaindex,16,16,13,0.8125,0.665578,0.812179
llamaindex.smartpdf,llamaindex,16,16,14,0.875,0.839015,0.952381
llamaindex.smartpdf_apply_ocr,llamaindex,16,15,4,0.25,0.105756,0.400297
llamaindex.unstructured,llamaindex,16,16,14,0.875,0.785444,0.891156
llmsherpa.apply_ocr,llmsherpa,16,15,4,0.25,0.105756,0.400297
llmsherpa.default,llmsherpa,16,16,14,0.875,0.839015,0.952381
